v,Feature importance based on training set,Feature importance based on test set,Subtypes,colors,x,y,Bit Substructure,Proportion in PICT,Proportion in TICT
PharmacoErGFP222,4.86E-05,-2.47E-05,PharmacoErGFP,#005dff,29,1,"('Acceptor', 'Aromatic', 13)",0.021680217,0.015655577
PharmacoErGFP44,9.16E-05,3.28E-05,PharmacoErGFP,#005dff,30,1,"('Donor', 'Positive', 3)",0.051490515,0.076320939
PharmacoErGFP140,0.000144024,-2.59E-05,PharmacoErGFP,#005dff,31,1,"('Acceptor', 'Acceptor', 15)",0.100271003,0.142857143
PharmacoErGFP284,0.000342791,0.000126654,PharmacoErGFP,#005dff,32,1,"('Positive', 'Hydrophobic', 12)",0.222222222,0.33072407
PharmacoErGFP282,0.000334474,0.000284237,PharmacoErGFP,#005dff,33,1,"('Positive', 'Hydrophobic', 10)",0.268292683,0.358121331
PharmacoErGFP285,0.000189254,-2.87E-05,PharmacoErGFP,#005dff,34,1,"('Positive', 'Hydrophobic', 13)",0.184281843,0.311154599
PharmacoErGFP286,0.000277539,0.000121016,PharmacoErGFP,#005dff,35,1,"('Positive', 'Hydrophobic', 14)",0.157181572,0.27592955
PubChemFP563,3.87E-06,0,PubChemFP,#8a00ff,0,2,O-C-O-C,0.002710027,0.011741683
PubChemFP610,1.03E-05,0,PubChemFP,#8a00ff,1,2,C-O-C-O-C,0.002710027,0.009784736
PubChemFP423,5.11E-05,1.26E-05,PubChemFP,#8a00ff,2,2,N=O,0.027100271,0.037181996
MACCSFP70,6.03E-05,-2.37E-06,MACCSFP,#00d3ff,3,2,"('[!#6;!#1]~[#7]~[!#6;!#1]', 0)",0.032520325,0.039138943
MACCSFP63,4.34E-05,-5.11E-05,MACCSFP,#00d3ff,4,2,"('[#7]=[#8]', 0)",0.024390244,0.033268102
PubChemFP812,3.76E-05,-0.000105397,PubChemFP,#8a00ff,5,2,NC1CC(N)CCC1,0.01897019,0.029354207
PubChemFP373,0.000409973,0.000116134,PubChemFP,#8a00ff,6,2,C(~H)(:N),0.108401084,0.195694716
PubChemFP435,0.000608116,0.000560182,PubChemFP,#8a00ff,7,2,C(-C)(-H)(=N),0.138211382,0.254403131
PubChemFP445,0.000452936,0.000268594,PubChemFP,#8a00ff,8,2,C(-H)(-N)(=C),0.119241192,0.205479452
PubChemFP491,0.000527293,0.000204985,PubChemFP,#8a00ff,9,2,C-N:C-[#1],0.105691057,0.195694716
PubChemFP372,0.000509852,0.000285416,PubChemFP,#8a00ff,10,2,C(~H)(:C)(:N),0.108401084,0.193737769
PubChemFP484,0.000395594,-0.000188601,PubChemFP,#8a00ff,11,2,N-C:N:C,0.116531165,0.105675147
PubChemFP572,0.000374282,-6.97E-05,PubChemFP,#8a00ff,12,2,N:C:N:C,0.097560976,0.086105675
PubChemFP504,0.000319951,0.000141002,PubChemFP,#8a00ff,13,2,N:C:N-C,0.097560976,0.086105675
PubChemFP404,2.20E-05,4.99E-05,PubChemFP,#8a00ff,14,2,N(:C)(:C)(:C),0.008130081,0.003913894
PubChemFP388,5.93E-05,0,PubChemFP,#8a00ff,15,2,C(:C)(:N)(:N),0.013550136,0.019569472
PubChemFP488,0.000162156,3.81E-05,PubChemFP,#8a00ff,16,2,N-C=N-[#1],0.056910569,0.04109589
PubChemFP399,0.000237381,-2.21E-05,PubChemFP,#8a00ff,17,2,N(~H)(:C),0.086720867,0.046966732
PubChemFP635,3.78E-06,0,PubChemFP,#8a00ff,18,2,N-N-C-N-[#1],0.002710027,0
PubChemFP477,7.40E-05,0.000121265,PubChemFP,#8a00ff,19,2,N-N-C:C,0.024390244,0.023483366
PubChemFP616,6.39E-05,8.34E-06,PubChemFP,#8a00ff,20,2,C:C:N:N:C,0.021680217,0.011741683
PubChemFP522,8.32E-06,8.84E-05,PubChemFP,#8a00ff,21,2,C-N-N-[#1],0.005420054,0.003913894
MACCSFP68,0,2.90E-05,MACCSFP,#00d3ff,22,2,"('[!#6;!#1;!H0]~[!#6;!#1;!H0]', 0)",0,0.001956947
PubChemFP643,0.000379479,1.75E-05,PubChemFP,#8a00ff,23,2,[#1]-C-C-N-[#1],0.165311653,0.125244618
PharmacoErGFP100,0.000866513,0.00028011,PharmacoErGFP,#005dff,24,2,"('Donor', 'Hydrophobic', 17)",0.43902439,0.254403131
MACCSFP151,0.000534654,-0.000208121,MACCSFP,#00d3ff,25,2,"('[#7;!H0]', 0)",0.224932249,0.162426614
MACCSFP54,4.72E-05,0.000105015,MACCSFP,#00d3ff,26,2,"('[!#6;!#1;!H0]~*~*~[!#6;!#1;!H0]', 0)",0.008130081,0.023483366
PharmacoErGFP2,0.000139018,1.72E-05,PharmacoErGFP,#005dff,27,2,"('Donor', 'Donor', 3)",0.043360434,0.058708415
PharmacoErGFP42,8.66E-05,0.000135281,PharmacoErGFP,#005dff,28,2,"('Donor', 'Positive', 1)",0.035230352,0.050880626
PharmacoErGFP43,0.000120008,6.83E-05,PharmacoErGFP,#005dff,29,2,"('Donor', 'Positive', 2)",0.043360434,0.054794521
PharmacoErGFP224,9.30E-05,2.67E-05,PharmacoErGFP,#005dff,30,2,"('Acceptor', 'Aromatic', 15)",0.029810298,0.04109589
PharmacoErGFP143,0.000294439,-1.59E-05,PharmacoErGFP,#005dff,31,2,"('Acceptor', 'Acceptor', 18)",0.154471545,0.195694716
PharmacoErGFP145,0.000301511,0.000115838,PharmacoErGFP,#005dff,32,2,"('Acceptor', 'Acceptor', 20)",0.178861789,0.250489237
PharmacoErGFP146,0.000267586,9.35E-05,PharmacoErGFP,#005dff,33,2,"('Acceptor', 'Acceptor', 21)",0.184281843,0.264187867
PharmacoErGFP287,0.000202465,7.78E-06,PharmacoErGFP,#005dff,34,2,"('Positive', 'Hydrophobic', 15)",0.138211382,0.234833659
PharmacoErGFP288,0.000114192,4.54E-05,PharmacoErGFP,#005dff,35,2,"('Positive', 'Hydrophobic', 16)",0.113821138,0.183953033
PubChemFP667,0.000173038,-9.80E-06,PubChemFP,#8a00ff,0,3,C=C-C-O-[#1],0.327913279,0.166340509
PubChemFP347,-2.50E-06,0,PubChemFP,#8a00ff,1,3,C(~C)(~H)(~O)(~O),0,0.001956947
PubChemFP661,5.85E-06,0,PubChemFP,#8a00ff,2,3,O-C-O-C-C,0.002710027,0.009784736
MACCSFP56,6.82E-05,-5.65E-05,MACCSFP,#00d3ff,3,3,"('[#8]~[#7](~[#8])~[#6]', 0)",0.024390244,0.033268102
PubChemFP455,4.01E-05,-7.89E-05,PubChemFP,#8a00ff,4,3,N(-O)(=O),0.024390244,0.033268102
PubChemFP749,6.30E-05,8.15E-05,PubChemFP,#8a00ff,5,3,Nc1cc(N)ccc1,0.01897019,0.029354207
PubChemFP770,0.000215668,5.07E-05,PubChemFP,#8a00ff,6,3,Nc1c(N)cccc1,0.081300813,0.076320939
PubChemFP485,0.000286022,7.44E-05,PubChemFP,#8a00ff,7,3,N:C:C:N,0.113821138,0.111545988
PubChemFP447,0.000692502,0.000427134,PubChemFP,#8a00ff,8,3,C(-H)(=N),0.138211382,0.256360078
PubChemFP521,0.000696956,0.000196356,PubChemFP,#8a00ff,9,3,C:N-C-[#1],0.159891599,0.254403131
PubChemFP506,0.001403875,-0.000199269,PubChemFP,#8a00ff,10,3,C-C:N:C,0.384823848,0.450097847
PubChemFP403,0.001529534,0.000779101,PubChemFP,#8a00ff,11,3,N(:C)(:C),0.384823848,0.450097847
PubChemFP482,0.001919547,0.000458002,PubChemFP,#8a00ff,12,3,C:N-C:C,0.382113821,0.452054795
PubChemFP453,0.002190267,0.00124599,PubChemFP,#8a00ff,13,3,N(-C)(=C),0.447154472,0.596868885
PubChemFP472,0.001545634,7.70E-05,PubChemFP,#8a00ff,14,3,C:N:C-C,0.384823848,0.450097847
PubChemFP387,0.001508823,-0.000165223,PubChemFP,#8a00ff,15,3,C(:C)(:N),0.417344173,0.47553816
PubChemFP400,0.00023895,8.31E-05,PubChemFP,#8a00ff,16,3,N(~H)(:C)(:C),0.081300813,0.045009785
PubChemFP527,0.00024502,-3.66E-05,PubChemFP,#8a00ff,17,3,C:C:N-[#1],0.086720867,0.046966732
MACCSFP94,0.000578621,-0.000306863,MACCSFP,#00d3ff,18,3,"('[!#6;!#1]~[#7]', 0)",0.127371274,0.162426614
MACCSFP124,0.000850765,-0.000590787,MACCSFP,#00d3ff,19,3,"('[!#6;!#1]~[!#6;!#1]', 0)",0.173441734,0.207436399
PubChemFP398,2.45E-05,6.53E-05,PubChemFP,#8a00ff,20,3,N(~H)(~N),0.013550136,0.009784736
MACCSFP69,0.000101157,5.29E-05,MACCSFP,#00d3ff,21,3,"('[!#6;!#1]~[!#6;!#1;!H0]', 0)",0.024390244,0.029354207
MACCSFP82,0.000137297,-3.93E-05,MACCSFP,#00d3ff,22,3,"('*~[CH2]~[!#6;!#1;!H0]', 0)",0.046070461,0.04109589
PubChemFP528,0.000165758,-7.08E-05,PubChemFP,#8a00ff,23,3,[#1]-N-C-[#1],0.062330623,0.050880626
PubChemFP299,0.000645322,7.43E-05,PubChemFP,#8a00ff,24,3,N-H,0.224932249,0.162426614
PharmacoErGFP23,0.000715215,5.73E-05,PharmacoErGFP,#005dff,25,3,"('Donor', 'Acceptor', 3)",0.376693767,0.24853229
MACCSFP131,0.00041538,2.73E-05,MACCSFP,#00d3ff,26,3,"('[!#6;!#1;!H0]', 1)",0.113821138,0.121330724
MACCSFP53,0.000108506,-4.88E-05,MACCSFP,#00d3ff,27,3,"('[!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]', 0)",0.032520325,0.023483366
PharmacoErGFP3,0.000181476,1.68E-05,PharmacoErGFP,#005dff,28,3,"('Donor', 'Donor', 4)",0.037940379,0.056751468
PharmacoErGFP223,9.10E-05,-3.58E-05,PharmacoErGFP,#005dff,29,3,"('Acceptor', 'Aromatic', 14)",0.035230352,0.021526419
PharmacoErGFP225,6.60E-05,-3.24E-05,PharmacoErGFP,#005dff,30,3,"('Acceptor', 'Aromatic', 16)",0.016260163,0.037181996
PharmacoErGFP226,6.12E-05,0,PharmacoErGFP,#005dff,31,3,"('Acceptor', 'Aromatic', 17)",0.016260163,0.033268102
PharmacoErGFP147,0.000346001,0.000132356,PharmacoErGFP,#005dff,32,3,"('Acceptor', 'Positive', 1)",0.154471545,0.246575342
PharmacoErGFP227,3.62E-05,0,PharmacoErGFP,#005dff,33,3,"('Acceptor', 'Aromatic', 18)",0.021680217,0.01369863
PharmacoErGFP228,1.35E-05,0,PharmacoErGFP,#005dff,34,3,"('Acceptor', 'Aromatic', 19)",0.021680217,0.015655577
PharmacoErGFP229,8.60E-06,-5.26E-06,PharmacoErGFP,#005dff,35,3,"('Acceptor', 'Aromatic', 20)",0.008130081,0.01369863
PubChemFP631,1.29E-05,-3.43E-05,PubChemFP,#8a00ff,0,4,O-C:C-O-[#1],0.027100271,0.009784736
PubChemFP308,0.00018876,-1.38E-05,PubChemFP,#8a00ff,1,4,O-H,0.341463415,0.209393346
PubChemFP406,0.000306438,6.79E-05,PubChemFP,#8a00ff,2,4,O(~C)(~H),0.333333333,0.193737769
MACCSFP15,0,0,MACCSFP,#00d3ff,3,4,"('[#8]~[#6](~[#8])~[#8]', 0)",0,0
PubChemFP401,9.90E-05,-6.49E-06,PubChemFP,#8a00ff,4,4,N(~O)(~O),0.024390244,0.033268102
PubChemFP728,8.30E-05,-0.000260877,PubChemFP,#8a00ff,5,4,Nc1ccc(N)cc1,0.040650407,0.048923679
PubChemFP377,0.001868081,-0.000462602,PubChemFP,#8a00ff,6,4,C(~N)(:C)(:C),0.777777778,0.839530333
PubChemFP833,0.000271639,-5.29E-05,PubChemFP,#8a00ff,7,4,NC1C(N)CCCC1,0.086720867,0.080234834
PubChemFP499,0.00042128,0.00015379,PubChemFP,#8a00ff,8,4,N-C:C:N,0.119241192,0.119373777
PubChemFP601,0.00021694,0.000230652,PubChemFP,#8a00ff,9,4,N-C:C:C-N,0.062330623,0.058708415
PubChemFP577,0.001376948,0.000432784,PubChemFP,#8a00ff,10,4,C:C-N-C:C,0.338753388,0.469667319
PubChemFP396,0.001742863,0.000580397,PubChemFP,#8a00ff,11,4,N(~C)(:C),0.387533875,0.457925636
MACCSFP65,0.00214331,9.55E-05,MACCSFP,#00d3ff,12,4,"('c:n', 0)",0.420054201,0.481409002
PubChemFP523,0.001745811,0.000202707,PubChemFP,#8a00ff,13,4,N:C:C-C,0.414634146,0.467710372
PubChemFP442,0.002676538,0.001202171,PubChemFP,#8a00ff,14,4,C(-C)(=N),0.504065041,0.632093933
PubChemFP538,0.00244939,0.00051517,PubChemFP,#8a00ff,15,4,N=C-C-C,0.495934959,0.60665362
PubChemFP530,0.001732513,0.000367505,PubChemFP,#8a00ff,16,4,N:C-C:C,0.414634146,0.469667319
PubChemFP555,0.002473407,0.001164266,PubChemFP,#8a00ff,17,4,N=C-C=C,0.485094851,0.612524462
PubChemFP576,0.001878857,0.000418451,PubChemFP,#8a00ff,18,4,N=C-C:C-[#1],0.411924119,0.444227006
PubChemFP776,0.001203009,0.000682483,PubChemFP,#8a00ff,19,4,CC1CCC(C)CC1,0.273712737,0.324853229
PubChemFP713,0.001285262,0.000368736,PubChemFP,#8a00ff,20,4,Cc1ccc(C)cc1,0.27100271,0.318982387
PubChemFP734,0.001240026,0.000601968,PubChemFP,#8a00ff,21,4,Cc1cc(C)ccc1,0.382113821,0.354207436
MACCSFP104,0.00014063,0.000124028,MACCSFP,#00d3ff,22,4,"('[!#6;!#1;!H0]~*~[CH2]~*', 0)",0.043360434,0.045009785
MACCSFP91,9.67E-05,8.85E-05,MACCSFP,#00d3ff,23,4,"('[$([!#6;!#1;!H0]~*~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~*~[R]1@[R]@[CH2;R]1)]', 0)",0.048780488,0.025440313
PharmacoErGFP22,0.001021737,-0.000203423,PharmacoErGFP,#005dff,24,4,"('Donor', 'Acceptor', 2)",0.379403794,0.270058708
PharmacoErGFP101,0.000946101,3.00E-05,PharmacoErGFP,#005dff,25,4,"('Donor', 'Hydrophobic', 18)",0.468834688,0.293542074
PharmacoErGFP24,0.000791813,-0.000224563,PharmacoErGFP,#005dff,26,4,"('Donor', 'Acceptor', 4)",0.39295393,0.250489237
PharmacoErGFP4,0.000181167,-3.39E-05,PharmacoErGFP,#005dff,27,4,"('Donor', 'Donor', 5)",0.043360434,0.048923679
PharmacoErGFP6,0.000161602,4.60E-05,PharmacoErGFP,#005dff,28,4,"('Donor', 'Donor', 7)",0.037940379,0.045009785
PharmacoErGFP45,0.000154293,0.000156966,PharmacoErGFP,#005dff,29,4,"('Donor', 'Positive', 4)",0.029810298,0.076320939
PharmacoErGFP46,0.000155769,3.97E-05,PharmacoErGFP,#005dff,30,4,"('Donor', 'Positive', 5)",0.046070461,0.076320939
PharmacoErGFP148,0.000285706,0.000127593,PharmacoErGFP,#005dff,31,4,"('Acceptor', 'Positive', 2)",0.146341463,0.207436399
PharmacoErGFP149,0.000170296,-1.43E-05,PharmacoErGFP,#005dff,32,4,"('Acceptor', 'Positive', 3)",0.12195122,0.138943249
PharmacoErGFP289,0.000158661,6.44E-07,PharmacoErGFP,#005dff,33,4,"('Positive', 'Hydrophobic', 17)",0.089430894,0.15851272
PharmacoErGFP230,7.00E-06,-5.03E-05,PharmacoErGFP,#005dff,34,4,"('Acceptor', 'Aromatic', 21)",0.005420054,0.01369863
PubChemFP117,0,0,PubChemFP,#8a00ff,35,4,>= 1 saturated or aromatic nitrogen-containing ring size 3,0,0
PubChemFP544,2.28E-05,-0.000115319,PubChemFP,#8a00ff,0,5,O-C:C-O,0.037940379,0.025440313
PubChemFP617,0.000245933,-0.000111018,PubChemFP,#8a00ff,1,5,C-C-C-O-[#1],0.322493225,0.181996086
MACCSFP139,0.000334118,0.000152994,MACCSFP,#00d3ff,2,5,"('[O;!H0]', 0)",0.341463415,0.209393346
PubChemFP380,0.000326655,0.000230526,PubChemFP,#8a00ff,3,5,C(~O)(~O),0.249322493,0.178082192
MACCSFP49,0.000908747,0.000298568,MACCSFP,#00d3ff,4,5,"('[!+0]', 0)",0.238482385,0.362035225
PubChemFP791,9.34E-05,-4.98E-05,PubChemFP,#8a00ff,5,5,NC1CCC(N)CC1,0.040650407,0.048923679
PubChemFP502,0.002252939,1.55E-05,PubChemFP,#8a00ff,6,5,N-C=C-[#1],0.745257453,0.870841487
PubChemFP600,0.003189718,0.00193418,PubChemFP,#8a00ff,7,5,N-C:C:C-C,0.796747967,0.898238748
PubChemFP821,0.001029894,-0.000798009,PubChemFP,#8a00ff,8,5,CC1C(N)CCCC1,0.279132791,0.299412916
PubChemFP547,0.000574123,0.000169,PubChemFP,#8a00ff,9,5,N-C:C-N,0.127371274,0.123287671
PubChemFP593,0.000366178,0.000318614,PubChemFP,#8a00ff,10,5,N-C-C-C-N,0.067750678,0.099804305
PubChemFP621,0.000236202,0.000179887,PubChemFP,#8a00ff,11,5,N-C:C:C:N,0.059620596,0.058708415
PubChemFP539,0.002577546,0.000505407,PubChemFP,#8a00ff,12,5,N=C-C-[#1],0.420054201,0.506849315
PubChemFP358,0.001985703,0.000471042,PubChemFP,#8a00ff,13,5,C(~C)(:N),0.420054201,0.481409002
PubChemFP357,0.001626744,0.000192033,PubChemFP,#8a00ff,14,5,C(~C)(:C)(:N),0.371273713,0.389432485
PubChemFP431,0.002129746,0.000337843,PubChemFP,#8a00ff,15,5,C(-C)(-C)(=N),0.425474255,0.459882583
PubChemFP418,0.002909109,0.000761033,PubChemFP,#8a00ff,16,5,C=N,0.504065041,0.632093933
PubChemFP181,0.001259882,-0.000697749,PubChemFP,#8a00ff,17,5,>= 1 saturated or aromatic heteroatom-containing ring size 6,0.365853659,0.332681018
PubChemFP818,0.001623705,-0.000340718,PubChemFP,#8a00ff,18,5,CC1C(C)CCCC1,0.35501355,0.301369863
PubChemFP712,0.002285032,0.000142874,PubChemFP,#8a00ff,19,5,C-C(C)-C(C)-C,0.520325203,0.528375734
PubChemFP696,0.003082263,-0.000159588,PubChemFP,#8a00ff,20,5,C-C-C-C-C-C-C-C,0.783197832,0.729941292
PubChemFP688,0.003883558,0.001164201,PubChemFP,#8a00ff,21,5,C-C-C-C-C-C-C,0.970189702,0.95890411
PubChemFP709,0.003526757,0.000748348,PubChemFP,#8a00ff,22,5,C-C(C)-C-C-C,0.970189702,0.964774951
MACCSFP90,0.000131748,1.77E-05,MACCSFP,#00d3ff,23,5,"('[$([!#6;!#1;!H0]~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[CH2;R]1)]', 0)",0.035230352,0.033268102
PharmacoErGFP21,0.001050315,-0.000109663,PharmacoErGFP,#005dff,24,5,"('Donor', 'Acceptor', 1)",0.222222222,0.193737769
PharmacoErGFP102,0.001077147,8.81E-05,PharmacoErGFP,#005dff,25,5,"('Donor', 'Hydrophobic', 19)",0.479674797,0.293542074
PharmacoErGFP25,0.000821037,0.00024105,PharmacoErGFP,#005dff,26,5,"('Donor', 'Acceptor', 5)",0.360433604,0.205479452
